model,egglog_rev,rayon_threads,timeout_s,status,seconds,tuples,log_path
llama,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,1,120,ok,3.157,16761,scratch/egglog_repros/results_parallelism_120s/llama_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads1.out
llama,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,8,120,ok,5.144,16761,scratch/egglog_repros/results_parallelism_120s/llama_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads8.out
llama,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,default-30,120,ok,9.983,16761,scratch/egglog_repros/results_parallelism_120s/llama_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads-default-30.out
llama,2e5657bbb2c1a90fba31002da61381815f891b6f,1,120,ok,54.098,16761,scratch/egglog_repros/results_parallelism_120s/llama_2e5657bbb2c1a90fba31002da61381815f891b6f_threads1.out
llama,2e5657bbb2c1a90fba31002da61381815f891b6f,8,120,ok,56.034,16761,scratch/egglog_repros/results_parallelism_120s/llama_2e5657bbb2c1a90fba31002da61381815f891b6f_threads8.out
llama,2e5657bbb2c1a90fba31002da61381815f891b6f,default-30,120,ok,59.522,16761,scratch/egglog_repros/results_parallelism_120s/llama_2e5657bbb2c1a90fba31002da61381815f891b6f_threads-default-30.out
llama,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,1,120,ok,7.323,16761,scratch/egglog_repros/results_parallelism_120s/llama_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads1.out
llama,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,8,120,ok,7.950,16761,scratch/egglog_repros/results_parallelism_120s/llama_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads8.out
llama,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,default-30,120,ok,9.110,16761,scratch/egglog_repros/results_parallelism_120s/llama_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads-default-30.out
paged_llama,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,1,120,ok,3.086,16270,scratch/egglog_repros/results_parallelism_120s/paged_llama_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads1.out
paged_llama,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,8,120,ok,5.105,16270,scratch/egglog_repros/results_parallelism_120s/paged_llama_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads8.out
paged_llama,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,default-30,120,ok,10.178,16270,scratch/egglog_repros/results_parallelism_120s/paged_llama_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads-default-30.out
paged_llama,2e5657bbb2c1a90fba31002da61381815f891b6f,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/paged_llama_2e5657bbb2c1a90fba31002da61381815f891b6f_threads1.out
paged_llama,2e5657bbb2c1a90fba31002da61381815f891b6f,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/paged_llama_2e5657bbb2c1a90fba31002da61381815f891b6f_threads8.out
